sale_id,fiscal_year,sale,employee_number,hot,rate,vat,fiscal_month,revenue_growth,trend
1,2003,5282.64,1370,0,SILVER,MIN,1,0.0,UP
2,2004,1938.24,1370,0,SILVER,MIN,1,0.0,UP
3,2004,1676.14,1370,0,SILVER,MIN,1,0.0,DOWN
4,2003,3213.0,1166,0,SILVER,MIN,1,0.0,DOWN
5,2004,2121.35,1166,0,SILVER,MIN,1,0.0,DOWN
6,2004,3711.12,1166,0,SILVER,MIN,1,0.0,CONSTANT
7,2003,3449.26,1611,0,SILVER,MIN,1,0.0,CONSTANT
8,2003,4704.92,1611,0,SILVER,MIN,1,0.0,UP
9,2004,2974.43,1611,0,SILVER,MIN,1,0.0,CONSTANT
10,2004,4755.6,1611,0,SILVER,MIN,1,0.0,UP
11,2004,5657.4,1611,0,SILVER,MIN,1,0.0,DOWN
11,2004,3660.75,1370,0,SILVER,MIN,1,0.0,DOWN
13,2004,2812.32,1370,0,SILVER,MIN,1,0.0,DOWN
14,2005,1607.76,1370,0,SILVER,MIN,1,0.0,UP
10,2005,4996.62,1370,0,SILVER,MIN,1,0.0,CONSTANT
16,2003,5571.8,1504,0,SILVER,MIN,1,0.0,DOWN
17,2003,1491.38,1504,0,SILVER,MIN,1,0.0,CONSTANT
18,2004,3884.34,1504,0,SILVER,MIN,1,0.0,DOWN
19,2004,5241.44,1504,0,SILVER,MIN,1,0.0,CONSTANT
20,2004,51241.5,1143,0,SILVER,MIN,1,0.0,DOWN
21,2003,25241.4,1143,0,SILVER,MIN,1,0.0,DOWN
22,2005,5233.1,1102,0,SILVER,MIN,1,0.0,DOWN
23,2005,5343.1,1102,0,SILVER,MIN,1,0.0,UP
8,2005,2343.1,1102,0,SILVER,MIN,1,0.0,DOWN
25,2005,343.1,1102,0,SILVER,MIN,1,0.0,DOWN
26,2005,5243.1,1102,0,SILVER,MIN,1,0.0,DOWN
27,2005,523.1,1102,0,SILVER,MIN,1,0.0,UP
28,2005,5243.1,1504,0,SILVER,MIN,1,0.0,DOWN
29,2005,5243.1,1102,0,SILVER,MIN,1,0.0,DOWN
30,2005,2343.1,1102,0,SILVER,MIN,1,0.0,DOWN
31,2005,343.1,1102,0,SILVER,MIN,1,0.0,DOWN
32,2005,5234.1,1370,0,SILVER,MIN,1,0.0,DOWN
33,2005,5233.1,1102,0,SILVER,MIN,1,0.0,DOWN
2,2005,52343.1,1102,0,SILVER,MIN,1,0.0,UP
35,2005,52343.1,1102,0,SILVER,MIN,1,0.0,DOWN
